Ensiklopedi ekonomi dan perbankan syariah;Habib Nazir', 'Muhammad Hasanuddin;Banking;Indonesian encyclopedia of Islamic economics and banking.;;;;;;;;;;;;;;
Glosarium ekonomi; keuangan; dan pembangunan;Kunarjo;;;;;;;;;;;;;;
Jurus Anti Gagal dalam Menjual;Frank Bettger;Economics;Frank Bettger bangkit dari jurang kegagalan menuju puncak keberhasilan tiada tara dan masyhur sebagai salesman dengan bayaran paling mahal di Amerika. Berkat dorongan Dale Carnegie, rekan yang mengaguminya, ia membeberkan resep keberhasilannya dalam buku ini. Selamilah kebijaksanaannya, ikutilah apa yang dia lakukan, maka Anda akan dapat melipatgandakan pendapatan dan kebahagiaan Anda! Apa pun yang Anda jual, kinerja dan keuntungan Anda akan meningkat secara dramatis apabila Anda tekun mengikuti langkah-langkah yang dia tapaki.Inilah sebagian kecil dari apa yang akan Anda dapatkan:+ Kekuatan antusiasme,+ Cara-cara mengatasi rasa takut, + Kata kunci untuk mengubah klien yang skeptis menjadi pembeli yang fanatik,+ Cara- cara tercepat untuk merebut kepercayaan,+ Tujuh aturan terpenting untuk menutup penjualan,+ Dan masih banyak petunjuk lain lagi.Materi dan metode dalam buku ini sudah terbukti dapat mengubah Frank Bettger menjadi salesman nasional terkemuka di Amerika Serikat. Berkat pengalamannya itu, dia juga menjadi guru yang sukses dan disegani dalam kursus-kursus atau training Dale Carnegie.;;;;;;;;;;;;;;
Kamus Ekonomi;Sunarto (S.E.);Economics;English-Indonesian dictionary of economic terms.;;;;;;;;;;;;;;
Kamus ekonomi;Sumadji P.;Economics;English-Indonesian dictionary of economic terms.;;;;;;;;;;;;;;
Kamus Ekonomi-bisnis-perbankan; Inggris-Indonesia;T. Guritno;Banking;Bakery dihasilkan dari bahan dasar tepung, lemak, gula, protein, dan bahan tambahan lainnya. Masing-masing bahan mempunyai peranan yang berbeda-beda dan penting pada pembuatan cake, roti, cookies, atau biskuit. Selain dipengaruhi oleh kualitas bahan dasarnya, kualitas bakery juga ditentukan oleh cara pembuatannya. Tahap pembuatan juga sangat menentukan hasil bakery yang diperoleh. Dalam pembuatan roti, tahapan tersebut meliputi pencampuran bahan, peragian, pembulatan, pengistirahatan, dan pemanggangan. Pembuatan cake, cookies, dan biskuit meliputi pencampuran bahan, pengkrimeran, dan pemanggangan.Bahan Tambahan Pangan (BTP) sering ditambahkan pada pembuatan bakery. Bahan ini dapat berupa pengoksidasi, pereduksi, surfaktan, emulsifier, enzim, gluten, dan senyawa hidrokoloid. Selain itu, agar produk berkualitas tinggi dapat ditambahkan bahan pengembang seperti amonium bikarbonat, sodium bikarbonat, potasium bikarbonat, sodium karbonat, dan baking powder, serta asam-asam pengembang lainnya seperti cream of tartar, asam tartarat, dan lain sebagainya.Mutu roti, cake, cookies, ataupun biskuit dapat diketahui dari rasa, volume, warna, struktur, tekstur, flavor, remahan roti, dan elastisitasnya, sedangkan kegagalannya dapat dilihat dari kegagalan eksternal maupun kegagalan lainnya seperti kekeringan dan kecepatan basi.Dalam pembuatan adonan roti, kesetimbangan penggunaan bahan sangat menentukan hasil akhirnya. Formula yang tepat akan menghasilkan cake yang baik. Selain adonan yang langsung digunakan, ada adonan yang bisa disimpan dalam freezer seperti adonan roti pizadan burger.Pemanggangan merupakan hal yang paling penting. Dalam tahap ini struktur alami dari konstituen adonan utama diubah secara irreversible oleh proses fisika, kimia, dan interaksi biokimia. Penampilan bakery ditentukan pemanasan oven yang dikaitkan dengan pengembangan volume, pembentukan remah, inaktivasi enzim, aktivitas ragi, koagulasi protein tepung, dan gelatinisasi parsial dari pati tepung. Selain itu, pembentukan senyawa flavor baru seperti karamelisasi gula, pyrodekstrin, dan senyawa aromatikterjadi pada proses ini. Semua haltersebut dibahasdalam buku ini.;;;;;;;;;;;;;
Kamus idiom Inggris-Indonesia;Windy Novia;Education;Dictionary of English-Indonesian idioms.;;;;;;;;;;;;;;
Kamus Inggeris-Indonesia; Indonesia-Inggeris;M. Darto;Education;;;;;;;;;;;;;;
Kamus Lengkap Idioms; Inggris-Indonesia;M. J. Lado;Education;;;;;;;;;;;;;;
Kamus perbankan dan bisnis Inggris-Indonesia;T. Guritno;Banking;English-Indonesian dictionary of banking terms.;;;;;;;;;;;;;;
Kebidjaksanaan pembangunan ekonomi; pembangunan daerah dan pembangunan pertanian;Mubyarto;Economics;;;;;;;;;;;;;;
KOMET (unedited version);Tere Liye;Comics;Buku ke-5 Petualangan Raib, Ali dan Seli. **Novel ini adalah naskah awal (asli) dari penulis;;;;;;;;;;;;;;
Masih Ingatkah Kau Jalan Pulang (HC);Sapardi Djoko Damono & Rintik Sedu;Art;Masih ingatkah kau jalan pulang? Tak ada jalan dan tak ada pulang kita di atap langit nun di bawah rata belaka suatu saat biru di saat lain merah kesumba. Jadi kau tidak ingat lagi tak percaya lagi akan jalan pulang? Apakah pergi harus juga pulang? apakah pergi harus juga berpikir untuk pulang? Apakah pulang hanya ada kalau kita pergi? Apakah pulang dan pergi harus berpasangan?;;;;;;;;;;;;;;
Matematika Ekonomi;Wahyu Hidayat R;Economics;Penyusunan buku Matematika Ekonomi ini pada dasarnya untuk membantu kebutuhan literatur bagi mahasiswa Fakultas Ekonomi. Selain ditujukan untuk membantu mahasiswa mempelajari dan memahami Matematika Ekonomi, buku ini dapat juga digunakan untuk mempelajari mata kuliah lain yang terkait dengan bidang ekonomi. Dengan mempelajari buku ini paling tidak mahasiswa akan memiliki pengetahuan tentang alat dasar kuantitatif untuk analisis ekonomi serta memiliki ketrampilan analisis termasuk penggunaan instrumen komputer yang terkait dengan analisis ekonomi. Sebagai langkah awal dalam penyusunan buku teks, buku ini merupakan hasil kompilasi dari beberapa penulis sehingga atas dasar tersebut penulis menyadari bahwa buku ini masih jauh dari kesempurnaan. Oleh karenanya kritik dan saran dari para pembaca senantiasa penulis terima dengan tangan terbuka. Pada kesempatan ini, penulis mengucapkan terima kasih kepada rekan-rekan dosen di lingkungan Fakultas Ekonomi yang telah memberikan dorongan moril dan materiil selama penulisan buku ini. Tidak lupa penulis ucapkan terima kasih kepada keluarga di rumah yang banyak memberikan kelonggaran waktu hingga terselesainya buku ini.;;;;;;;;;;;;;;
Melawan kezaliman;Fauzan Al-Anzhari;Education;Comments on trials of Abu Bakar Ba'asyir, indicted for the 2002 Bali bombing and 2003 Marriott bombing, in Jakarta Selatan Court of the first instance.;Study of Indonesia's economic policy, with emphasis on agricultural development.;;;;;;;;;;;;;
Membuat Toko Online dengan Teknik OOP; MVC; dan AJAX;Rohi Abdulloh;Economics;Indonesian economics, management, international marketing, etc.;;;;;;;;;;;;
Menyibak fenomena perpajakan di belahan dunia;Tjip Ismail;Economics;On taxation in the worldwide.;;;;;;;;;;;;;;
Museum Kehilangan - Puisi;Wawan Kurniawan;Art;hari-hari mencuri wajahmu esok kita hanya mendengar suara tawa seorang nakhoda pemabuk dari neraka paling celaka dia bawa beribu cerita perihal menemukan seluruh harta karun yang kita cari tapi tak seorang pun akan percaya lagi setelah di museum kehilangan: terpajang cermin, terpasung wajahmu dan kesunyian berabad-abad lamanya.;;;;;;;;;;;;;;
My Retail Formula;Christian F. GUSWAI;Economics;"""""""Anda membutuhkan masukan dan nasihat dari konsultan atau ahli bisnis ritel tetapi Anda ingin menginvestasikan dana konsultasi itu untuk kebutuhan yang lain? Jangan khawatir, Anda akan memperoleh saran dan informasi berharga yang Anda butuhkan itu di sini. My Retail Formula berisi formula-formula siap pakai yang bisa segera Anda manfaatkan untuk menjalankan bisnis ritel Anda. Buku ini menjawab berbagai kebutuhan informasi dan pertanyaan mengenai ritel, misalnya cara: - menjalankan operasi toko yang efektif dan efisien dari A - Z, - mengelola merchandising yang menguntungkan dan memuaskan pelanggan, - menciptakan budaya perusahaan yang kondusif, - menjadikan toko Anda tempat belanja yang menyenangkan, - menekan dan mencegah kehilangan, - menghindari kesalahan dalam memilih lokasi, - mengenali dan mengendalikan kompetitor, - menjadikan service sebagai senjata rahasia Anda, - mengontrol keuangan perusahaan Anda, - dan banyak lagi lainnya! Cover design by Hanacaraka Studio""""""";;;;;;;;;;;;;;
Nyanyian Akar Rumput - Puisi;Wiji Tukul;Art;Sebagai aktivis dan seniman rakyat, Wiji Thukul memang dengan tepat menggambarkan keterwakilan kelas sosialnya. Pilihan untuk kemudian bergabung bersama petani, buruh, dan kaum miskin lainnya dalam semangat yang semakin menguat, bahwa segala bentuk kemiskinan itu bukanlah semata-mata hadiah dari kekuasaan Tuhan, akan tetapi peluang dan kesempatan itu telah dilahap oleh kekuasaan politik dan modal.ÃE Munir Said Thalib, pejuang HAM Indonesia';Prinsip PHC: 1. Distribusi yang adil (Equitable distribution), Kesetaraan social;;;;;;;;;;;;;
ONE PIECE 01;Eiichiro Oda;Comics;Apa yang dilakukan oleh Aokiji yang mengetahui masa lalu Robin kepada Luffy dan teman-temannya? Untuk mencari tukang kayu, Luffy dan rombongan pun pergi ke Kota Air Water Seven, tempat Galley-la Company, perusahaan pembuatan kapal terbesar di dunia.;;;;;;;;;;;;;;
ONE PIECE 02;Eiichiro Oda;Comics;Akhirnya aku berhasil mengajak Roronoa Zoro bergabung. Sekarang kami perlu seorang navigator. Aku menemukan seorang calon yang sangat tepat, namun dia bersikeras menolak bergabung karena dia sangat membenci bajak laut. Sementara itu, dalam keadaan terperangkap dalam kandang, aku harus menghadapi meriam Buggy BadutÃE;;;;;;;;;;;;;;
Optimasi Bidang Perikanan: Pendekatan Linier Programming; Transportasi dan Goal Programming;Harsuko Riniwati', 'Nuddin Harahab;Economics;;;;;;;;;;;;;;
PANDUAN PRAKTIKUM TEKNIK RANTAI PASOK DAN LOGISTIK;Anna Maria Sri Asih', 'Bertha Maya Sopha', 'Nur Mayke Eka Normasari', 'Sekar Sakti', 'Rayhan Kenandi', 'Sarah Khairita Putri', 'Umi Latifah', 'Yasmine Putri Sandono;Economics;Pesatnya perkembangan industri saat ini tak dapat dipisahkan dengan bidang rantai pasok dan logistik yang merupakan rangkaian proses pengelolaan sumber daya dari hulu ke hilir. Untuk menghadapi perubahan rantai pasok tersebut, mahasiswa perlu dibekali konsep dasar rantai pasok dan logistik yang memadai. Oleh karena itu, buku ini ditulis sebagai panduan pembekalan dalam praktikum untuk melatih mahasiswa dalam mengaplikasikan teori rantai pasok dan logistik yang telah diperoleh dari pembelajaran di kelas. Buku ini terdiri atas beberapa pokok bahasan rantai pasok dan logistik, yaitu Supply Chain Network, Supply Chain Contract, Risk Pool, Enterprise Resource Planning (ERP), Beer Game-City Logistics, dan Mini Project. Setiap modul telah dilengkapi dengan target keluaran, sistem penilaian, tujuan praktikum, dan prosedur untuk melakukan praktikum.;;;;;;;;;;;;;;
Pembaruan sistem upah;Adi Sasono;Economics;National wage system;;;;;;;;;;;;;;
Pengantar Bisnis;Dr. Drs. Ec. Sentot Imam Wahjono, M.Si. Dkk;Economics;Dua belas bab yang dibahas buku ini: Bisnis Kontemporer;;;;;;;;;;;;;;
Pengelolaan Dana Desa;Muhamad MuE€Eiz Raharjo, S. STP., M.Si.;Economics;Dana desa adalah dana yang bersumber dari anggaran pendapatan dan belanja negara diperuntukkan bagi desa dalam membiayai penyelenggaraan pemerintahan, pelaksanaan pembangunan, pembinaan kemasyarakatan, dan pemberdayaan masyarakat desa. Kehadiran dana desa di Indonesia menjadi semangat baru yang diharapkan dapat dikelola dengan baik untuk mewujudkan desa mandiri dan masyarakat yang sejahtera. Buku ini hadir menguraikan teori, regulasi, dan implementasi mengenai sumber-sumber pendapatan desa dan arti penting dana desa;;;;;;;;;;;;;;
PERGI (unedited version);Tere Liye;Comics;Sebuah kisah tentang menemukan tujuan, ke mana hendak pergi, melalui kenangan demi kenangan masa lalu, pertarungan hidup-mati, untuk memutuskan ke mana langkah kaki akan dibawa. **Novel ini adalah naskah awal (asli) dari penulis;;;; Informasi Bisnis; Proses Pemasaran dan Perilaku Konsumen; Produksi dan Penetapan Harga; Distribusi dan Promosi;" dan Mengelola Keuangan Bisnis. Substansi isi di setiap bab buku ini dilengkapi pula dengan bahan tayang (slide) dalam format Microsoft PowerPoint yang dapat diunduh dengan memindai QR Code yang disediakan pada setiap awal bab. Penyediaan bahan tayang ini diharapkan dapat membantu para dosen, fasilitator, atau mahasiswa pada saat membahas setiap babnya. Bahan tayang ini sebagai pemandu dan sangat membantu untuk memodifikasi (menambah dan mengurangi) tanpa mengubah substansinya. Buku persembahan Penerbit PrenadaMediaGroup""";;;;;;
Perkembangan industri skala kecil di Indonesia;Tulus Tambunan;Economics;Analysis on the development of small scale industries in Indonesia.;;;;;;;;;;;;;;
Primary Health Care; Health for All;Prof. Dr. Stefanus Supriyanto dr. MS;Economics;;;;;;;;;;;;;;
PULANG (unedited version);Tere Liye;Comics;"""Aku tahu sekarang, lebih banyak luka di hati bapakku dibanding di tubuhnya. Juga mamakku, lebih banyak tangis di hati Mamak dibanding di matanya."" Sebuah kisah tentang perjalanan pulang, melalui pertarungan demi pertarungan, untuk memeluk erat semua kebencian dan rasa sakit."" **Novel ini adalah naskah awal (asli) dari penulis";Optimasi Bidang Perikanan: Pendekatan Linier Programming, Transportasi dan Goal Programming, ini dapat diselesaikan. Buku ini ditulis berdasarkan kebutuhan para mahasiswa baik tingkat S1, S2 dan S3 dalam keperluan alat analisis penelitiannya. Relevansi buku ini terkait dengan mata kuliah yang diajarkan di fakultas-fakultas yang ada jurusan sosial ekonomi, yang menekankan pada pembahasan Linear Programming, Penyelesaian persoalan Linear Programming, program transportasi dan Goal Programming. Buku ini menyajikan bab-bab dengan topik yang sering dilakukan dalam penerapan di lapang. Diharapkan bahwa sajian bab per bab yang mampu memberikan pilihan yang baik bagi para pengambil keputusan dalam rangka pengembangan usaha-usaha di bidang perikanan. Kami menyadari buku ini mengandung banyak kekurangan. Oleh karena itu, kami mengundang pembaca, baik di kalangan pengambil kebijakan maupun peneliti/akademisi untuk memberikan saran dan kritik guna menyempurnakan buku ini. Semoga buku ini dapat bermanfaat praktis dalam konteks pengembangan manajemen kuantitatif.;;;;;;;;;;;;;
Rekonstruksi pemahaman koperasi;Noer Soetrisno;Economics;The cooperative system and its role in the economic development in Indonesia.;;;;;;;;;;;;;;
