title,authors,categories,description
Distilling Ideas,"['Brian P. Katz', 'Michael Starbird', 'Michael P. Starbird']",['Mathematics'],"Mathematics is not a spectator sport: successful students of mathematics grapple with ideas for themselves. Distilling Ideas presents a carefully designed sequence of exercises and theorem statements that challenge students to create proofs and concepts. As students meet these challenges, they discover strategies of proofs and strategies of thinking beyond mathematics. In order words, Distilling Ideas helps its users to develop the skills, attitudes, and habits of mind of a mathematician and to enjoy the process of distilling and exploring ideas. Distilling Ideas is an ideal textbook for a first proof-based course. The text engages the range of students' preferences and aesthetics through a corresponding variety of interesting mathematical content from graphs, groups, and epsilon-delta calculus. Each topic is accessible to users without a background in abstract mathematics because the concepts arise from asking questions about everyday experience. All the common proof structures emerge as natural solutions to authentic needs. Distilling Ideas or any subset of its chapters is an ideal resource either for an organized Inquiry Based Learning course or for individual study. A student response to Distilling Ideas: ""I feel that I have grown more as a mathematician in this class than in all the other classes I've ever taken throughout my academic life."""
The Mathematics That Power Our World,"['Joseph Khoury', 'Gilles Lamothe']",['Mathematics'],"The Mathematics That Power Our World: How Is It Made? is an attempt to unveil the hidden mathematics behind the functioning of many of the devices we use on a daily basis. For the past years, discussions on the best approach in teaching and learning mathematics have shown how much the world is divided on this issue. The one reality we seem to agree on globally is the fact that our new generation is lacking interest and passion for the subject. One has the impression that the vast majority of young students finishing high school or in their early post-secondary studies are more and more divided into two main groups when it comes to the perception of mathematics. The first group looks at mathematics as a pure academic subject with little connection to the real world. The second group considers mathematics as a set of tools that a computer can be programmed to use and thus, a basic knowledge of the subject is sufficient. This book serves as a middle ground between these two views. Many of the elegant and seemingly theoretical concepts of mathematics are linked to state-of-the-art technologies. The topics of the book are selected carefully to make that link more relevant. They include: digital calculators, basics of data compression and the Huffman coding, the JPEG standard for data compression, the GPS system studied both from the receiver and the satellite ends, image processing and face recognition. This book is a great resource for mathematics educators in high schools, colleges and universities who want to engage their students in advanced readings that go beyond the classroom discussions. It is also a solid foundation for anyone thinking of pursuing a career in science or engineering. All efforts were made so that the exposition of each topic is as clear and self-contained as possible and thus, appealing to anyone trying to broaden his mathematical horizons. Contents: What Makes a Calculator Calculate?Basics of Data Compression, Prefix-Free Codes and Huffman CodesThe JPEG Standard Global Positioning System (GPS)Image Processing and Face Recognition Readership: Advanced high school students, undergraduates and teachers interested in the mathemtics that drive many modern technologies."
The Development of Mathematics Throughout the Centuries,['Brian Evans'],['Mathematics'],"Throughout the book, readers take a journey throughout time and observe how people around the world have understood these patterns of quantity, structure, and dimension around them. The Development of Mathematics Throughout the Centuries: A Brief History in a Cultural Contex provides a brief overview of the history of mathematics in a very straightforward and understandable manner and also addresses major findings that influenced the development of mathematics as a coherent discipline. This book: Highlights the contributions made by various world cultures including African, Egyptian, Babylonian, Chinese, Indian, Islamic, and pre-Columbian American mathematics Features an approach that is not too rigorous and is ideal for a one-semester course of the history of mathematics. Includes a Resources and Recommended Reading section for further exploration and has been extensively classroom-tested"
Quantitative Reasoning in Mathematics and Science Education,"['Gülseren Karagöz Akar', 'İsmail Özgür Zembat', 'Selahattin Arslan', 'Patrick W. Thompson']",['Education'],"This book focuses on quantitative reasoning as an orienting framework to analyse learning, teaching and curriculum in mathematics and science education. Quantitative reasoning plays a vital role in learning concepts foundational to arithmetic, algebra, calculus, geometry, trigonometry and other ideas in STEM. The book draws upon the importance of quantitative reasoning and its crucial role in education. It particularly delves into quantitative reasoning related to the learning and teaching diverse mathematics and science concepts, conceptual analysis of mathematical and scientific ideas and analysis of school mathematics (K-16) curricula in different contexts. We believe that it can be considered as a reference book to be used by researchers, teacher educators, curriculum developers and pre- and in-service teachers."
Mathematical Methods in Science,['George Pólya'],['Mathematics'],"'Mathematics, taught and learned appropriately, improves the mind and implants good habits of thought.' This tenet underlies all of Professor Pólya's works on teaching and problem-solving. This book captures some of Pólya's excitement and vision. In it he provides enlightenment for all those who have ever wondered how the laws of nature were worked out mathematically. The distinctive feature of the present book is the stress on the history of certain elementary chapters of science; these can be a source of enjoyment and deeper understanding of mathematics even for beginners who have little, or perhaps no, knowledge of physics."
The Space of Mathematics,"['Javier Echeverría', 'Andoni Ibarra', 'Thomas Mormann']",['Mathematics'],N/A
Everybody Counts,"['Mathematical Sciences Education Board', 'Board on Mathematical Sciences and Their Applications', 'National Research Council']",['Education'],"Mathematics is the key to opportunity. No longer only the language of science, mathematics is now essential to business, finance, health, and defense. Yet because of the lack of mathematical literacy, many students are not prepared for tomorrow's jobs. Everybody Counts suggests solutions. Written for everyone concerned about our children's education, this book discusses why students in this country do not perform well in mathematics and outlines a comprehensive plan for revitalizing mathematics education in America, from kindergarten through college. single copy, $8.95; 2-9 copies, $7.50 each; 10 or more copies, $6.95 each (no other discounts apply)"
Mathematics For Computation (M4c),"['Marco Benini', 'Olaf Beyersdorff', 'Michael Rathjen', 'Peter Michael Schuster']",['Mathematics'],"The overall topic of the volume, Mathematics for Computation (M4C), is mathematics taking crucially into account the aspect of computation, investigating the interaction of mathematics with computation, bridging the gap between mathematics and computation wherever desirable and possible, and otherwise explaining why not.Recently, abstract mathematics has proved to have more computational content than ever expected. Indeed, the axiomatic method, originally intended to do away with concrete computations, seems to suit surprisingly well the programs-from-proofs paradigm, with abstraction helping not only clarity but also efficiency.Unlike computational mathematics, which rather focusses on objects of computational nature such as algorithms, the scope of M4C generally encompasses all the mathematics, including abstract concepts such as functions. The purpose of M4C actually is a strongly theory-based and therefore, is a more reliable and sustainable approach to actual computation, up to the systematic development of verified software.While M4C is situated within mathematical logic and the related area of theoretical computer science, in principle it involves all branches of mathematics, especially those which prompt computational considerations. In traditional terms, the topics of M4C include proof theory, constructive mathematics, complexity theory, reverse mathematics, type theory, category theory and domain theory.The aim of this volume is to provide a point of reference by presenting up-to-date contributions by some of the most active scholars in each field. A variety of approaches and techniques are represented to give as wide a view as possible and promote cross-fertilization between different styles and traditions."
Geometric Etudes in Combinatorial Mathematics,['Alexander Soifer'],['Mathematics'],"Geometric Etudes in Combinatorial Mathematics is not only educational, it is inspirational. This distinguished mathematician captivates the young readers, propelling them to search for solutions of life’s problems—problems that previously seemed hopeless. Review from the first edition: The etudes presented here are not simply those of Czerny, but are better compared to the etudes of Chopin, not only technically demanding and addressed to a variety of specific skills, but at the same time possessing an exceptional beauty that characterizes the best of art...Keep this book at hand as you plan your next problem solving seminar. —The American Mathematical Monthly"
Mathematics in Industry,['Angela Slavova'],['Science'],"In this book, a wide range of problems concerning recent achievements in the field of industrial and applied mathematics are presented. It provides new ideas and research for scientists developing and studying mathematical methods and algorithms, and researchers applying them for solving real-life problems. The importance of the computing infrastructure is unquestionable for the development of modern science. The main focus of the book is the application of mathematics to industry and science. It promotes basic research in mathematics leading to new methods and techniques useful to industry and science. The volume also considers strategy-making integration between scientists of applied mathematics and those working in applied informatics, which has potential for long-lasting integration and co-operation. The integration role is regarded here as a tool for consolidation and reinforcement of the research, education and training, and for the transfer of scientific and management knowledge. This volume operates as a medium for the exchange of information and ideas between mathematicians and other technical and scientific personnel. The book will be essential for the promotion of interdisciplinary collaboration between applied mathematics and science, engineering and technology. The main topics examined in this volume are: numerical methods and algorithms; control systems and applications; partial differential equations and real-life applications; the high performance of scientific computing; linear algebra applications; neurosciences; algorithms in industrial mathematics; equations of mathematical physics; and industrial applications of mechanics."
Mathematics in Historical Context,['Jeff Suzuki'],['Mathematics'],"An exploration of the interaction between mathematics, mathematicians and society. What would Newton see if he looked out his window?"
Learning Activities from the History of Mathematics,['Frank J. Swetz'],['Education'],Biographies of 23 important mathematicians span many centuries and cultures. Historical Learning Tasks provide 21 in-depth treatments of a variety of historical problems.
Mathnetbase,"['CRC Press', 'CRC Press LLC']",N/A,"MATHnetBASE is unparalleled online repository of references covering the gamut of pure and applied mathematics. To date, the MATHnetBASE includes 43 books that you can search simultaneously, and each month the collection grows even. Proofs, formulas, definitions, and explanations-from the classical to the cutting edge, from theory to applications, MATHnetBASE has the answers you need."
Worked Examples in Mathematics for Scientists and Engineers,['G. Stephenson'],['Mathematics'],"This rich collection of fully worked problems in many areas of mathematics covers all the important subjects students are likely to encounter in their courses, from introductory to final-year undergraduate classes. Because lecture courses tend to focus on theory rather than examples, these exercises offer a valuable complement to classroom teachings, promoting the understanding of mathematical techniques and helping students prepare for exams. They will prove useful to undergraduates in mathematics; students in engineering, physics, and chemistry; and postgraduate scientists looking for a way to refresh their skills in specific topics. The problems can supplement lecture notes and any conventional text. Starting with functions, inequalities, limits, differentiation, and integration, topics encompass integral inequalities, power series and convergence, complex variables, hyperbolic function, vector and matrix algebra, Laplace transforms, Fourier series, vector calculus, and many other subjects."
Beliefs: A Hidden Variable in Mathematics Education?,"['G.C. Leder', 'Erkki Pehkonen', 'Günter Törner']",['Education'],"This book focuses on aspects of mathematical beliefs, from a variety of different perspectives. Current knowledge of the field is synthesized and existing boundaries are extended. The volume is intended for researchers in the field, as well as for mathematics educators teaching the next generation of students."
Mathematical Methods in Science and Engineering,['Selcuk S. Bayin'],['Education'],"A Practical, Interdisciplinary Guide to Advanced Mathematical Methods for Scientists and Engineers Mathematical Methods in Science and Engineering, Second Edition, provides students and scientists with a detailed mathematical reference for advanced analysis and computational methodologies. Making complex tools accessible, this invaluable resource is designed for both the classroom and the practitioners; the modular format allows flexibility of coverage, while the text itself is formatted to provide essential information without detailed study. Highly practical discussion focuses on the “how-to” aspect of each topic presented, yet provides enough theory to reinforce central processes and mechanisms. Recent growing interest in interdisciplinary studies has brought scientists together from physics, chemistry, biology, economy, and finance to expand advanced mathematical methods beyond theoretical physics. This book is written with this multi-disciplinary group in mind, emphasizing practical solutions for diverse applications and the development of a new interdisciplinary science. Revised and expanded for increased utility, this new Second Edition: Includes over 60 new sections and subsections more useful to a multidisciplinary audience Contains new examples, new figures, new problems, and more fluid arguments Presents a detailed discussion on the most frequently encountered special functions in science and engineering Provides a systematic treatment of special functions in terms of the Sturm-Liouville theory Approaches second-order differential equations of physics and engineering from the factorization perspective Includes extensive discussion of coordinate transformations and tensors, complex analysis, fractional calculus, integral transforms, Green's functions, path integrals, and more Extensively reworked to provide increased utility to a broader audience, this book provides a self-contained three-semester course for curriculum, self-study, or reference. As more scientific disciplines begin to lean more heavily on advanced mathematical analysis, this resource will prove to be an invaluable addition to any bookshelf."
A History of Mathematics in the United States and Canada,['David E. Zitarelli'],['Mathematics'],"This is the first truly comprehensive and thorough history of the development of mathematics and a mathematical community in the United States and Canada. This first volume of the multi-volume work takes the reader from the European encounters with North America in the fifteenth century up to the emergence of a research community the United States in the last quarter of the nineteenth. In the story of the colonial period, particular emphasis is given to several prominent colonial figures—Jefferson, Franklin, and Rittenhouse—and four important early colleges—Harvard, Québec, William & Mary, and Yale. During the first three-quarters of the nineteenth century, mathematics in North America was largely the occupation of scattered individual pioneers: Bowditch, Farrar, Adrain, B. Peirce. This period is given a fuller treatment here than previously in the literature, including the creation of the first PhD programs and attempts to form organizations and found journals. With the founding of Johns Hopkins in 1876 the American mathematical research community was finally, and firmly, founded. The programs at Hopkins, Chicago, and Clark are detailed as are the influence of major European mathematicians including especially Klein, Hilbert, and Sylvester. Klein's visit to the US and his Evanston Colloquium are extensively detailed. The founding of the American Mathematical Society is thoroughly discussed. David Zitarelli was emeritus Professor of Mathematics at Temple University. A decorated and acclaimed teacher, scholar, and expositor, he was one of the world's leading experts on the development of American mathematics. Author or co-author of over a dozen books, this was his magnum opus—sure to become the leading reference on the topic and essential reading, not just for historians. In clear and compelling prose Zitarelli spins a tale accessible to experts, generalists, and anyone interested in the history of science in North America."
"A Concise Introduction to Pure Mathematics, Third Edition",['Martin Liebeck'],['Mathematics'],"Accessible to all students with a sound background in high school mathematics, A Concise Introduction to Pure Mathematics, Third Edition presents some of the most fundamental and beautiful ideas in pure mathematics. It covers not only standard material but also many interesting topics not usually encountered at this level, such as the theory of solving cubic equations, the use of Euler’s formula to study the five Platonic solids, the use of prime numbers to encode and decode secret information, and the theory of how to compare the sizes of two infinite sets. New to the Third Edition The third edition of this popular text contains three new chapters that provide an introduction to mathematical analysis. These new chapters introduce the ideas of limits of sequences and continuous functions as well as several interesting applications, such as the use of the intermediate value theorem to prove the existence of nth roots. This edition also includes solutions to all of the odd-numbered exercises. By carefully explaining various topics in analysis, geometry, number theory, and combinatorics, this textbook illustrates the power and beauty of basic mathematical concepts. Written in a rigorous yet accessible style, it continues to provide a robust bridge between high school and higher level mathematics, enabling students to study further courses in abstract algebra and analysis."
Mathematical Mindsets,['Jo Boaler'],['Education'],"Banish math anxiety and give students of all ages a clear roadmap to success Mathematical Mindsets provides practical strategies and activities to help teachers and parents show all children, even those who are convinced that they are bad at math, that they can enjoy and succeed in math. Jo Boaler—Stanford researcher, professor of math education, and expert on math learning—has studied why students don't like math and often fail in math classes. She's followed thousands of students through middle and high schools to study how they learn and to find the most effective ways to unleash the math potential in all students. There is a clear gap between what research has shown to work in teaching math and what happens in schools and at home. This book bridges that gap by turning research findings into practical activities and advice. Boaler translates Carol Dweck's concept of 'mindset' into math teaching and parenting strategies, showing how students can go from self-doubt to strong self-confidence, which is so important to math learning. Boaler reveals the steps that must be taken by schools and parents to improve math education for all. Mathematical Mindsets: Explains how the brain processes mathematics learning Reveals how to turn mistakes and struggles into valuable learning experiences Provides examples of rich mathematical activities to replace rote learning Explains ways to give students a positive math mindset Gives examples of how assessment and grading policies need to change to support real understanding Scores of students hate and fear math, so they end up leaving school without an understanding of basic mathematical concepts. Their evasion and departure hinders math-related pathways and STEM career opportunities. Research has shown very clear methods to change this phenomena, but the information has been confined to research journals—until now. Mathematical Mindsets provides a proven, practical roadmap to mathematics success for any student at any age."
Learning How to Teach Mathematical Modeling in School and Teacher Education,['Rita Borromeo Ferri'],['Education'],"This timely resource fills a gap in existing literature on mathematical modeling by presenting both theory- and evidence-based ideas for its teaching and learning. The book outlines four key professional competencies that must be developed in order to effectively and appropriately teach mathematical modeling, and in so doing it seeks to reduce the discrepancies between educational policy and educational research versus everyday teaching practice. Among the key competencies covered are: Theoretical competency for practical work. Task competency for instructional flexibility. Instructional competency for effective and quality lessons. Diagnostic competency for assessment and grading. Learning How to Teach Mathematical Modeling in School and Teacher Education is relevant to practicing and future mathematics teachers at all levels, as well as teacher educators, mathematics education researchers, and undergraduate and graduate mathematics students interested in research based methods for teaching mathematical modeling."
Mathematical Puzzles,['Peter Winkler'],['Mathematics'],"Research in mathematics is much more than solving puzzles, but most people will agree that solving puzzles is not just fun: it helps focus the mind and increases one's armory of techniques for doing mathematics. Mathematical Puzzles makes this connection explicit by isolating important mathematical methods, then using them to solve puzzles and prove a theorem. Features A collection of the world’s best mathematical puzzles Each chapter features a technique for solving mathematical puzzles, examples, and finally a genuine theorem of mathematics that features that technique in its proof Puzzles that are entertaining, mystifying, paradoxical, and satisfying; they are not just exercises or contest problems."
Fostering and Sustaining Mathematics Thinking Through Problem Solving,"['John Mason', 'Joy Davis']",['Mathematics'],"Prepared for courses ECT405, ECT705 offered by the Faculty of Education in Deakin University's Open Campus Program."
Mathematical Biology,"['Ronald W. Shonkwiler', 'James Herod']",['Science'],"This text presents mathematical biology as a field with a unity of its own, rather than only the intrusion of one science into another. The book focuses on problems of contemporary interest, such as cancer, genetics, and the rapidly growing field of genomics."
Mathematics and Scientific Representation,['Christopher Pincock'],['Philosophy'],"Mathematics plays a central role in much of contemporary science, but philosophers have struggled to understand what this role is or how significant it might be for mathematics and science. In this book Christopher Pincock tackles this perennial question in a new way by asking how mathematics contributes to the success of our best scientific representations. In the first part of the book this question is posed and sharpened using a proposal for how we can determine the content of a scientific representation. Several different sorts of contributions from mathematics are then articulated. Pincock argues that each contribution can be understood as broadly epistemic, so that what mathematics ultimately contributes to science is best connected with our scientific knowledge. In the second part of the book, Pincock critically evaluates alternative approaches to the role of mathematics in science. These include the potential benefits for scientific discovery and scientific explanation. A major focus of this part of the book is the indispensability argument for mathematical platonism. Using the results of part one, Pincock argues that this argument can at best support a weak form of realism about the truth-value of the statements of mathematics. The book concludes with a chapter on pure mathematics and the remaining options for making sense of its interpretation and epistemology. Thoroughly grounded in case studies drawn from scientific practice, this book aims to bring together current debates in both the philosophy of mathematics and the philosophy of science and to demonstrate the philosophical importance of applications of mathematics."
Assessing Mathematical Literacy,"['Kaye Stacey', 'Ross Turner']",['Education'],"This book describes the design, development, delivery and impact of the mathematics assessment for the OECD Programme for International Student Assessment (PISA). First, the origins of PISA’s concept of mathematical literacy are discussed, highlighting the underlying themes of mathematics as preparation for life after school and mathematical modelling of the real world, and clarifying PISA’s position within this part of the mathematics education territory. The PISA mathematics framework is introduced as a significant milestone in the development and dissemination of these ideas. The underlying mathematical competencies on which mathematical literacy so strongly depends are described, along with a scheme to use them in item creation and analysis. The development and implementation of the PISA survey and the consequences for the outcomes are thoroughly discussed. Different kinds of items for both paper-based and computer-based PISA surveys are exemplified by many publicly released items along with details of scoring. The novel survey of the opportunity students have had to learn the mathematics promoted through PISA is explained. The book concludes by surveying international impact. It presents viewpoints of mathematics educators on how PISA and its constituent ideas and methods have influenced teaching and learning practices, curriculum arrangements, assessment practices, and the educational debate more generally in fourteen countries."
The Queen of Mathematics,['Jay Goldman'],['Mathematics'],This book takes the unique approach of examining number theory as it emerged in the 17th through 19th centuries. It leads to an understanding of today's research problems on the basis of their historical development. This book is a contribution to cultural history and brings a difficult subject within the reach of the serious reader.
Mathematical Problem Posing,['Lukas Baumanns'],['Mathematics'],"Mathematical problem posing as the substantive formulation of mathematical problems is an activity that lies at the heart of mathematics. In recent years, research in mathematics education has endeavored to gain insights into problem posing—conceptually as well as empirically. In problem-posing research, there has been a focus on analyzing products, that is, the posed problems. Insights into the processes that lead to these products, however, have so far been lacking. Within four journal articles, summarized in this cumulative dissertation, the author attempts to contribute to the understanding of problem-posing processes through conceptual considerations and empirical investigations. The conceptual part consists of a conducted systematic literature review to investigate problem-posing situations and problem-posing activities. The studies in the empirical part deal with the analyses of problem-posing processes of pre-service mathematics teachers from a macroscopic and microscopic perspective. The aim is to develop coherent and meaningful conceptual perspectives for analyzing empirical observations of problem-posing processes."
Ongoing Advancements in Philosophy of Mathematics Education,"['Maria Aparecida Viggiani Bicudo', 'Bronislaw Czarnocha', 'Maurício Rosa', 'Małgorzata Marciniak']",['Education'],"Ongoing Advancements in Philosophy of Mathematics Education approaches the philosophy of mathematics education in a forward movement, analyzing, reflecting, and proposing significant contemporary themes in the field of mathematics education. The theme that gives life to the book is philosophy of mathematics education understood as arising from the intertwining between philosophy of mathematics and philosophy of education which, through constant analytical and reflective work regarding teaching and learning practices in mathematics, is materialized in its own discipline, philosophy of mathematics education. This is the field of investigation of the chapters in the book. The chapters are written by an international cohort of authors, from a variety of countries, regions, and continents. Some of these authors work with philosophical and psychological foundations traditionally accepted by Western civilization. Others expose theoretical foundations based on a new vision and comprising innovative approaches to historical and present-day issues in educational philosophy. The final third of the book is devoted to these unique and innovative research stances towards important and change resistant societal topics such as racism, technology gaps, or the promotion of creativity in the field of mathematics education."
Learning and Teaching Mathematics,"['Terezinha Nunes', 'Peter Bryant']",['Education'],"Newly available in paperback, this volume contends that mathematics is a form of intelligent problem solving which plays an important part in children's lives. It also includes recent research on teaching and learning mathematics."
